overall_rank,player_name,position,team,predicted_points,vor
1,Patrick Mahomes,QB,KC,47.69348685855512,16.454558208884396
2,Joshua Allen,QB,BUF,47.578721421849465,16.339792772178743
3,Joseph Burrow,QB,CIN,47.05677147720893,15.817842827538211
4,Christian McCaffrey,RB,SF,36.79950512542118,15.737386375255795
5,Justin Jefferson,WR,MIN,34.701453102118535,15.059062077408448
6,Austin Ekeler,RB,LAC,36.01862818815947,14.956509437994086
7,Tyreek Hill,WR,MIA,34.30631374374317,14.663922719033081
8,Joshua Jacobs,RB,LV,35.43244924254127,14.370330492375885
9,Davante Adams,WR,LV,33.70999480031673,14.067603775606642
10,Travis Kelce,TE,KC,28.189355067145975,13.369221931184196
11,Derrick Henry,RB,TEN,34.28328029498528,13.2211615448199
12,Arthur Brown,WR,PHI,32.4646161046312,12.822225079921111
13,Stefon Diggs,WR,BUF,31.44327781077976,11.800886786069675
14,Kirk Cousins,QB,MIN,42.76356286265943,11.524634212988705
15,Cedarian Lamb,WR,DAL,31.124553178870798,11.482162154160712
16,Dalvin Cook,RB,MIN,32.506215083422205,11.444096333256823
17,Saquon Barkley,RB,NYG,32.39406931894438,11.331950568779
18,Amari Cooper,WR,CLE,30.059831337891282,10.417440313181196
19,Jaylen Waddle,WR,MIA,29.83042557841563,10.188034553705542
20,Nicholas Chubb,RB,CLE,31.061246098402407,9.999127348237025
21,DeVonta Smith,WR,PHI,29.471518477576513,9.829127452866427
22,Travis Etienne,RB,JAX,30.888176933030408,9.826058182865026
23,Jamaal Williams,RB,DET,30.73831249522411,9.676193745058729
24,Eugene Smith,QB,SEA,40.84895859121511,9.610029941544386
25,Christian Kirk,WR,JAX,29.116186556728568,9.473795532018482
26,Justin Herbert,QB,LAC,40.643506755911275,9.404578106240553
27,Jalen Hurts,QB,PHI,40.63004649085575,9.391117841185025
28,Aaron Jones,RB,GB,30.333387137664268,9.271268387498885
29,Miles Sanders,RB,PHI,29.967220566353298,8.905101816187916
30,Joe Mixon,RB,CIN,29.94803932732037,8.885920577154987
31,George Kittle,TE,SF,23.528688580866117,8.708555444904338
32,Amon-Ra St. Brown,WR,DET,28.28470870057253,8.642317675862444
33,Thomas Brady,QB,TB,39.6787217183327,8.43979306866198
34,Jared Goff,QB,DET,38.85234296420046,7.613414314529738
35,Michael Evans,WR,TB,27.164299494381265,7.521908469671178
36,Tony Pollard,RB,DAL,28.547009864638515,7.4848911144731325
37,Ezekiel Elliott,RB,DAL,28.157715042374335,7.095596292208953
38,James Conner,RB,ARI,27.4473768114448,6.385258061279419
39,Thomas Hockenson,TE,MIN,21.1449243653689,6.324791229407122
40,Alvin Kamara,RB,NO,27.340014729809205,6.277895979643823
41,Ja'Marr Chase,WR,CIN,25.894899211464953,6.252508186754866
42,Tyler Lockett,WR,SEA,25.89262358373147,6.250232559021384
43,Rhamondre Stevenson,RB,NE,27.175098617962764,6.112979867797382
44,William Lawrence,QB,JAX,37.20674487122518,5.967816221554461
45,Brandon Aiyuk,WR,SF,25.267702247032968,5.625311222322882
46,Terry McLaurin,WR,WAS,25.254759159821948,5.612368135111861
47,Tamurice Higgins,WR,CIN,24.995460673886473,5.353069649176387
48,Najee Harris,RB,PIT,26.39972757262758,5.337608822462197
49,Devin Singletary,RB,BUF,26.04816315251069,4.986044402345307
50,Denniston Moore,WR,CAR,24.6047213778616,4.962330353151515
51,Kenneth Walker,RB,SEA,25.6674037760293,4.6052850258639175
52,David Montgomery,RB,CHI,25.592456805665208,4.530338055499826
53,Garrett Wilson,WR,NYJ,24.13299904462612,4.490608019916035
54,Algiers Dillon,RB,GB,25.074730377339105,4.012611627173722
55,Latavius Murray,RB,DEN,25.065494590552117,4.0033758403867346
56,Jerick McKinnon,RB,KC,25.006871334992745,3.944752584827363
57,Mark Andrews,TE,BAL,18.554071182512462,3.7339380465506835
58,DeKaylin Metcalf,WR,SEA,23.37388046619981,3.7314894414897246
59,Jerry Jeudy,WR,DEN,23.292106315681284,3.649715290971198
60,Cooper Kupp,WR,LA,23.160176051107957,3.5177850263978705
61,Cam Akers,RB,LA,24.507678472320972,3.44555972215559
62,Jakobi Meyers,WR,NE,23.05972498958996,3.417333964879873
63,Evan Engram,TE,JAX,18.01211131935407,3.1919781833922904
64,Gabriel Davis,WR,BUF,22.81125944597668,3.1688684212665947
65,Allen Lazard,WR,GB,22.7564487836099,3.114057758899815
66,Leonard Fournette,RB,TB,24.102591119056125,3.040472368890743
67,Isiah Pacheco,RB,KC,23.940153870183234,2.878035120017852
68,D'Onta Foreman,RB,CAR,23.72376158377245,2.6616428336070683
69,Jeffery Wilson,RB,MIA,23.62804155152233,2.5659228013569475
70,Dominique Mostert,RB,MIA,23.50820537506303,2.4460866248976494
71,Dameon Pierce,RB,HOU,23.373872020042846,2.311753269877464
72,Jonathan Taylor,RB,IND,23.1713586629848,2.109239912819419
73,Tyler Allgeier,RB,ATL,22.887676110338422,1.8255573601730397
74,Cole Kmet,TE,CHI,16.40938428828917,1.5892511523273924
75,Patrick Freiermuth,TE,PIT,16.36631040056523,1.5461772646034504
76,D'Andre Swift,RB,DET,22.549680518835334,1.487561768669952
77,Isaiah Jones,WR,JAX,21.050547519622867,1.408156494912781
78,Daniel Jones,QB,NYG,32.64075169748662,1.401823047815899
79,Brian Robinson,RB,WAS,22.409349866822136,1.3472311166567543
80,Khalil Herbert,RB,CHI,22.31890697594554,1.2567882257801593
81,Michael Pittman,WR,IND,20.89478258914419,1.2523915644341024
82,Rod Godwin,WR,TB,20.86265781381295,1.2202667891028653
83,Chief Njoku,TE,CLE,16.027678134116908,1.2075449981551287
84,Aaron Rodgers,QB,GB,32.43495341596292,1.1960247662922008
85,Christian Watson,WR,GB,20.735436993339516,1.0930459686294292
86,Derek Carr,QB,LV,32.32841213830846,1.089483488637736
87,Tuanigamanuolepola Tagovailoa,QB,MIA,32.15151299463957,0.9125843449688453
88,Dalton Schultz,TE,DAL,15.61747870972076,0.7973455737589816
89,Tyler Higbee,TE,LA,15.575311250307239,0.7551781143454601
90,Dallas Goedert,TE,PHI,15.569837938727327,0.7497048027655477
91,Justin Fields,QB,CHI,31.946303678743767,0.7073750290730452
92,Gerald Everett,TE,LAC,15.526531683795685,0.7063985478339063
93,Chris Olave,WR,NO,20.23550978847846,0.5931187637683735
94,Drake London,WR,ATL,20.23550978847846,0.5931187637683735
95,Diontae Johnson,WR,PIT,20.15906497986689,0.5166739551568043
96,John Smith-Schuster,WR,KC,19.996782437771213,0.3543914130611263
97,Michael Williams,WR,LAC,19.990640912274426,0.3482498875643394
98,Donovan Peoples-Jones,WR,CLE,19.861672415483074,0.2192813907729878
99,Courtland Sutton,WR,DEN,19.701092541458554,0.05870151674846724
100,Noah Fant,TE,SEA,14.820133135961779,0.0
101,Rachaad White,RB,TB,21.062118750165382,0.0
102,Lamar Jackson,QB,BAL,31.238928649670722,0.0
103,Tyler Boyd,WR,CIN,19.642391024710086,0.0
104,Juwan Johnson,TE,NO,14.7193231723889,-0.1008099635728783
105,Dawson Knox,TE,BUF,14.662297797184587,-0.15783533877719158
106,Tyler Conklin,TE,NYJ,14.652156346193166,-0.16797678976861263
107,Antonio Gibson,RB,WAS,20.8412274549858,-0.22089129517958384
108,George Pickens,WR,PIT,19.350351079405975,-0.29203994530411137
109,Keenan Allen,WR,LAC,19.292472567839678,-0.3499184568704088
110,Jahan Dotson,WR,WAS,19.17045850712318,-0.47193251758690735
111,Cordarrelle Patterson,RB,ATL,20.461042813977148,-0.6010759361882343
112,Joshua Palmer,WR,LAC,19.034958082909352,-0.6074329418007345
113,Adam Thielen,WR,MIN,19.021911145738713,-0.6204798789713735
114,Rayne Prescott,QB,DAL,30.61818656529315,-0.6207420843775715
115,Samaje Perine,RB,CIN,20.325845430026995,-0.7362733201383875
116,Robert Tonyan,TE,GB,13.656322275034281,-1.163810860927498
117,Jordan Akins,TE,HOU,13.58663075378266,-1.2335023821791182
118,Michael Carter,RB,NYJ,19.789277585027467,-1.2728411651379155
119,Hayden Hurst,TE,CIN,12.887946603560495,-1.9321865324012837
120,Russell Wilson,QB,DEN,29.30515833426198,-1.9337703154087436
121,Hunter Henry,TE,NE,12.708227273422368,-2.1119058625394107
122,Chigoziem Okonkwo,TE,TEN,12.625876494659684,-2.194256641302095
123,Austin Hooper,TE,TEN,12.56707286163023,-2.253060274331549
124,Zachary Ertz,TE,ARI,12.541667661774444,-2.2784654741873354
125,Michael Gesicki,TE,MIA,12.507402838934244,-2.312730297027535
126,Andrew Dalton,QB,NO,28.78613146772532,-2.452797181945403
127,Kyler Murray,QB,ARI,28.773652002558407,-2.465276647112315
128,Marcus Mariota,QB,ATL,28.657581128761034,-2.581347520909688
129,Foster Moreau,TE,LV,12.180627178617435,-2.639505957344344
130,Cade Otton,TE,TB,12.152597017338275,-2.667536118623504
131,Isaiah Likely,TE,BAL,12.027575915999728,-2.7925572199620508
132,Tyshun Samuel,WR,SF,16.801449079113667,-2.8409419455964198
133,Gregory Dulcich,TE,DEN,11.963489120299576,-2.8566440156622033
134,K.J. Osborn,WR,MIN,16.76880008287482,-2.8735909418352676
135,Kyle Pitts,TE,ATL,11.945891385295184,-2.874241750666595
136,Alexander Mattison,RB,MIN,18.162681215273388,-2.8994375348919945
137,William Dissly,TE,SEA,11.891837302514729,-2.9282958334470504
138,Darren Waller,TE,LV,11.890364347009715,-2.929768788952064
