overall_rank,player_name,position,team,predicted_points,vor
139,Kareem Hunt,RB,CLE,18.082880837107147,-2.9792379130582347
140,James Robinson,RB,NYJ,17.989374710684064,-3.072744039481318
141,Marquise Brown,WR,ARI,16.39182345052193,-3.250567574188157
142,DeAndre Hopkins,WR,ARI,16.318638187560637,-3.323752837149449
143,Breece Hall,RB,NYJ,17.731116615802865,-3.3310021343625174
144,Curtis Samuel,WR,WAS,16.15171158920508,-3.4906794355050046
145,J.K. Dobbins,RB,BAL,17.553597993528548,-3.508520756636834
146,James Cook,RB,BUF,17.553597993528548,-3.508520756636834
147,Zaccheus Moss,RB,IND,17.553597993528548,-3.508520756636834
148,Chuba Hubbard,RB,CAR,17.553597993528548,-3.508520756636834
149,Kenyan Drake,RB,BAL,17.516230136551492,-3.54588861361389
150,Mackenzie Hollins,WR,LV,16.025101018198757,-3.617290006511329
151,Damien Harris,RB,NE,17.338711514277175,-3.7234072358882067
152,Derrell Warren,RB,PIT,17.310057192352787,-3.7520615578125955
153,Brandin Cooks,WR,HOU,15.865147298833236,-3.7772437258768505
154,Michael Burkhead,RB,HOU,17.261681366964964,-3.8004373832004177
155,Jacoby Brissett,QB,CLE,27.41130147516541,-3.827627174505313
156,Deon Jackson,RB,IND,17.216367385800638,-3.8457513643647445
157,Augustus Edwards,RB,BAL,17.21467335241607,-3.8474453977493113
158,Parris Campbell,WR,IND,15.73927536366558,-3.903115661044506
159,Eno Benjamin,RB,NO,17.147511930525678,-3.9146068196397046
160,Clyde Edwards-Helaire,RB,KC,17.128441109905715,-3.933677640259667
161,Joshua McKissic,RB,WAS,17.060121265824854,-4.001997484340528
162,Alexander Horvath,RB,LAC,17.02452855918135,-4.037590190984034
163,Nyheim Hines,RB,BUF,17.001480906549265,-4.060637843616117
164,Melvin Gordon,RB,KC,16.991265810549894,-4.070852939615488
165,Ameer Abdullah,RB,LV,16.924421562849595,-4.137697187315787
166,Dontrell Hilliard,RB,TEN,16.906073033574994,-4.156045716590388
167,Carey Hardman,WR,KC,15.459945784081114,-4.182445240628972
168,Richard James,WR,NYG,15.45365655404109,-4.1887344706689955
169,Kenneth Gainwell,RB,PHI,16.809395834186606,-4.252722915978776
170,Darius Slayton,WR,NYG,15.313423166595198,-4.328967858114888
171,Caleb Huntley,RB,ATL,16.72556701846444,-4.336551731700943
172,Treylon Burks,WR,TEN,15.269488060902416,-4.37290296380767
173,Greg Dortch,WR,ARI,15.212843825022224,-4.429547199687862
174,Javonte Williams,RB,DEN,16.63187721191229,-4.430241538253092
175,None None,RB,KC,16.63187721191229,-4.430241538253092
176,Spencer Brown,RB,CAR,16.63187721191229,-4.430241538253092
177,Ty Johnson,RB,NYJ,16.63187721191229,-4.430241538253092
178,Raheem Blackshear,RB,CAR,16.63187721191229,-4.430241538253092
179,Trayveon Williams,RB,CIN,16.63187721191229,-4.430241538253092
180,Elijah Mitchell,RB,SF,16.63187721191229,-4.430241538253092
181,Larry Rountree,RB,LAC,16.63187721191229,-4.430241538253092
182,Jaret Patterson,RB,WAS,16.63187721191229,-4.430241538253092
183,J.J. Taylor,RB,NE,16.63187721191229,-4.430241538253092
184,None None,RB,BUF,16.63187721191229,-4.430241538253092
185,Kevin Harris,RB,NE,16.63187721191229,-4.430241538253092
186,Chris Evans,RB,CIN,16.63187721191229,-4.430241538253092
187,None None,RB,MIN,16.63187721191229,-4.430241538253092
188,None None,RB,PIT,16.63187721191229,-4.430241538253092
189,Darrynton Evans,RB,CHI,16.63187721191229,-4.430241538253092
190,Kene Nwangwu,RB,MIN,16.63187721191229,-4.430241538253092
191,Anthony McFarland,RB,PIT,16.63187721191229,-4.430241538253092
192,Joshua Kelley,RB,LAC,16.63187721191229,-4.430241538253092
193,Demetric Felton,RB,CLE,16.63187721191229,-4.430241538253092
194,Trey Sermon,RB,PHI,16.63187721191229,-4.430241538253092
195,Zonovan Knight,RB,NYJ,16.63187721191229,-4.430241538253092
196,Kylin Hill,RB,GB,16.63187721191229,-4.430241538253092
197,Trestan Ebner,RB,CHI,16.63187721191229,-4.430241538253092
198,Tyler Badie,RB,DEN,16.63187721191229,-4.430241538253092
199,Keaontay Ingram,RB,ARI,16.63187721191229,-4.430241538253092
200,Travis Homer,RB,SEA,16.63187721191229,-4.430241538253092
201,Jonathan Ward,RB,TEN,16.63187721191229,-4.430241538253092
202,Isaiah Spiller,RB,LAC,16.63187721191229,-4.430241538253092
203,Malik Davis,RB,DAL,16.63187721191229,-4.430241538253092
204,Julius Chestnut,RB,TEN,16.63187721191229,-4.430241538253092
205,Hassan Haskins,RB,TEN,16.63187721191229,-4.430241538253092
206,Tyrion Davis-Price,RB,SF,16.63187721191229,-4.430241538253092
207,Kyren Williams,RB,LA,16.63187721191229,-4.430241538253092
208,Zamir White,RB,LV,16.63187721191229,-4.430241538253092
209,Pierre Strong,RB,NE,16.63187721191229,-4.430241538253092
210,None None,RB,CHI,16.63187721191229,-4.430241538253092
211,None None,RB,SF,16.63187721191229,-4.430241538253092
212,Tony Jones,RB,SEA,16.63187721191229,-4.430241538253092
213,Avery Williams,RB,ATL,16.63187721191229,-4.430241538253092
214,DeeJay Dallas,RB,SEA,16.63187721191229,-4.430241538253092
215,Salvon Ahmed,RB,MIA,16.63187721191229,-4.430241538253092
216,Gary Brightwell,RB,NYG,16.63187721191229,-4.430241538253092
217,Justice Hill,RB,BAL,16.63187721191229,-4.430241538253092
218,None None,RB,MIA,16.63187721191229,-4.430241538253092
219,Troy Hairston,RB,HOU,16.63187721191229,-4.430241538253092
220,None None,RB,BAL,16.63187721191229,-4.430241538253092
221,Jerome Ford,RB,CLE,16.63187721191229,-4.430241538253092
222,Jarod Conner,RB,JAX,16.63187721191229,-4.430241538253092
223,None None,RB,LV,16.63187721191229,-4.430241538253092
224,Ronnie Rivers,RB,LA,16.63187721191229,-4.430241538253092
225,None None,RB,ATL,16.63187721191229,-4.430241538253092
226,Tykevious Chandler,RB,MIN,16.63187721191229,-4.430241538253092
227,Jordan Mason,RB,SF,16.63187721191229,-4.430241538253092
228,None None,RB,DET,16.63187721191229,-4.430241538253092
229,Benjamin Snell,RB,PIT,16.63187721191229,-4.430241538253092
230,Patrick Taylor,RB,GB,16.63187721191229,-4.430241538253092
231,Marquez Valdes-Scantling,WR,KC,15.171193647817008,-4.471197376893079
232,Braxton Berrios,WR,NYJ,15.15562190738692,-4.486769117323167
233,Kalif Raymond,WR,DET,15.145624465910776,-4.49676655879931
234,Davis Mills,QB,HOU,26.724996208577913,-4.513932441092809
235,Rashaad Penny,RB,SEA,16.510680539213066,-4.551438210952316
236,Rashid Shaheed,WR,NO,15.08283707891915,-4.559553945790936
237,Alec Pierce,WR,IND,15.037438548779052,-4.604952475931034
238,Jordan Howard,RB,NO,16.416990732660917,-4.645128017504465
239,Dwayne Washington,RB,NO,16.416990732660917,-4.645128017504465
240,Sony Michel,RB,LAC,16.416990732660917,-4.645128017504465
241,Michael Boone,RB,DEN,16.416990732660917,-4.645128017504465
242,Royce Freeman,RB,HOU,16.416990732660917,-4.645128017504465
243,Ronald Jones,RB,KC,16.416990732660917,-4.645128017504465
244,Chase Edmonds,RB,DEN,16.416990732660917,-4.645128017504465
245,Godwin Igwebuike,RB,SEA,16.416990732660917,-4.645128017504465
246,Reggie Bonnafon,RB,WAS,16.416990732660917,-4.645128017504465
247,Justin Jackson,RB,DET,16.416990732660917,-4.645128017504465
248,Phillip Lindsay,RB,IND,16.416990732660917,-4.645128017504465
249,Boston Scott,RB,PHI,16.416990732660917,-4.645128017504465
250,Jordan Wilkins,RB,IND,16.416990732660917,-4.645128017504465
251,Craig Reynolds,RB,DET,16.416990732660917,-4.645128017504465
252,Mike Davis,RB,BAL,16.416990732660917,-4.645128017504465
253,Darrel Williams,RB,ARI,16.416990732660917,-4.645128017504465
254,Tevin Coleman,RB,SF,16.416990732660917,-4.645128017504465
255,Malcolm Brown,RB,LA,16.416990732660917,-4.645128017504465
256,Devine Ozigbo,RB,DEN,16.416990732660917,-4.645128017504465
257,Jonathan Williams,RB,WAS,16.416990732660917,-4.645128017504465
258,Marlon Mack,RB,DEN,16.416990732660917,-4.645128017504465
259,Corey Clement,RB,ARI,16.416990732660917,-4.645128017504465
260,JaMycal Hasty,RB,JAX,16.416990732660917,-4.645128017504465
261,Randy Johnson,RB,BUF,16.416990732660917,-4.645128017504465
262,Adam Prentice,RB,NO,16.416990732660917,-4.645128017504465
263,Myles Gaskin,RB,MIA,16.416990732660917,-4.645128017504465
264,Ty'Son Williams,RB,ARI,16.416990732660917,-4.645128017504465
265,Oluwadare Ogunbowale,RB,HOU,16.416990732660917,-4.645128017504465
266,Darrell Henderson,RB,JAX,16.416990732660917,-4.645128017504465
267,Ke'Shawn Vaughn,RB,TB,16.416990732660917,-4.645128017504465
268,Matthew Breida,RB,NYG,16.416990732660917,-4.645128017504465
269,D'Ernest Johnson,RB,CLE,16.416990732660917,-4.645128017504465
270,Olamide Zaccheaus,WR,ATL,14.98079431289886,-4.661596711811226
271,Darrell Chark,WR,DET,14.98079431289886,-4.661596711811226
272,Terrace Marshall,WR,CAR,14.975172822086941,-4.667218202623145
273,Elijah Moore,WR,NYJ,14.975172822086941,-4.667218202623145
274,Michael Jones,QB,NE,26.57088641115645,-4.668042238514271
275,Ryan Tannehill,QB,TEN,26.557234671761258,-4.681693977909465
276,David Johnson,RB,NO,16.377028178260872,-4.68509057190451
277,Damien Williams,RB,ATL,16.377028178260872,-4.68509057190451
278,Giovani Bernard,RB,TB,16.377028178260872,-4.68509057190451
279,Brandon Bolden,RB,LV,16.375540997268445,-4.6865777528969375
280,Mark Ingram,RB,NO,16.375540997268445,-4.6865777528969375
281,Logan Thomas,TE,WAS,10.12422871154131,-4.695904424420469
282,Darnell Mooney,WR,CHI,14.91852858620675,-4.723862438503337
283,Nico Collins,WR,HOU,14.91852858620675,-4.723862438503337
284,Robert Woods,WR,TEN,14.867370896238516,-4.775020128471571
285,DeAndre Carter,WR,LAC,14.867370896238516,-4.775020128471571
286,DeVante Parker,WR,NE,14.867370896238516,-4.775020128471571
287,Christopher Moore,WR,HOU,14.867370896238516,-4.775020128471571
288,Brock Wright,TE,DET,10.041418152933554,-4.778714983028225
289,Shane Zylstra,TE,DET,10.041418152933554,-4.778714983028225
290,Colby Parkinson,TE,SEA,10.032299034435484,-4.787834101526295
291,Jelani Woods,TE,IND,10.032299034435484,-4.787834101526295
292,Corey Davis,WR,NYJ,14.838564794120675,-4.8038262305894115
293,Chase Claypool,WR,CHI,14.8291347343384,-4.813256290371687
294,Noah Brown,WR,DAL,14.820214438874343,-4.822176585835743
295,Kenneth Pickett,QB,PIT,26.375137423937304,-4.863791225733419
296,Demarcus Robinson,WR,BAL,14.776299067428564,-4.866091957281522
297,Joshua Reynolds,WR,DET,14.776299067428564,-4.866091957281522
298,Russell Gage,WR,TB,14.687253429277225,-4.955137595432861
299,MyCole Pruitt,TE,ATL,9.812633214774332,-5.007499921187447
300,Matthew Ryan,QB,IND,26.210132406455912,-5.02879624321481
301,Derrick Watson,QB,CLE,26.159733904139536,-5.079194745531186
302,Tyler Huntley,QB,BAL,26.10171059801863,-5.137218051652091
303,Malik Willis,QB,TEN,26.10171059801863,-5.137218051652091
304,Eric Saubert,TE,DEN,9.626717508108518,-5.193415627853261
305,Geoffrey Swaim,TE,TEN,9.626717508108518,-5.193415627853261
306,Mason Schreck,TE,HOU,9.626717508108518,-5.193415627853261
307,O'Terrius Howard,TE,HOU,9.626717508108518,-5.193415627853261
308,Daniel Arnold,TE,JAX,9.626717508108518,-5.193415627853261
309,Mohamed Alie-Cox,TE,IND,9.626717508108518,-5.193415627853261
310,Jonnu Smith,TE,NE,9.626717508108518,-5.193415627853261
311,Ross Dwelley,TE,SF,9.626717508108518,-5.193415627853261
312,John Mundt,TE,MIN,9.626717508108518,-5.193415627853261
313,Pharaoh Brown,TE,CLE,9.626717508108518,-5.193415627853261
314,Durham Smythe,TE,MIA,9.626717508108518,-5.193415627853261
315,Parker Hesse,TE,ATL,9.626717508108518,-5.193415627853261
316,Tanner Hudson,TE,CIN,9.626717508108518,-5.193415627853261
317,Thomas Sweeney,TE,BUF,9.626717508108518,-5.193415627853261
318,Anthony Firkser,TE,ATL,9.626717508108518,-5.193415627853261
319,Maxx Williams,TE,ARI,9.626717508108518,-5.193415627853261
320,Jack Stoll,TE,PHI,9.558562483082218,-5.261570652879561
321,Tommy Tremble,TE,CAR,9.558562483082218,-5.261570652879561
322,Connor Heyward,TE,PIT,9.558562483082218,-5.261570652879561
323,Peyton Hendershot,TE,DAL,9.558562483082218,-5.261570652879561
324,Feleipe Franks,TE,ATL,9.558562483082218,-5.261570652879561
325,Luke Farrell,TE,JAX,9.558562483082218,-5.261570652879561
326,Christopher Myarick,TE,NYG,9.558562483082218,-5.261570652879561
327,Charlie Kolar,TE,BAL,9.558562483082218,-5.261570652879561
328,Brycen Hopkins,TE,LA,9.558562483082218,-5.261570652879561
329,Donald Parham,TE,LAC,9.558562483082218,-5.261570652879561
330,Miller Forristall,TE,CLE,9.558562483082218,-5.261570652879561
331,John Bates,TE,WAS,9.558562483082218,-5.261570652879561
332,Charles Woerner,TE,SF,9.558562483082218,-5.261570652879561
333,Quintin Morris,TE,BUF,9.558562483082218,-5.261570652879561
334,Stephen Sullivan,TE,CAR,9.558562483082218,-5.261570652879561
335,James Mitchell,TE,DET,9.558562483082218,-5.261570652879561
336,Brevin Jordan,TE,HOU,9.558562483082218,-5.261570652879561
337,Nicolas Turner,TE,WAS,9.558562483082218,-5.261570652879561
338,Tre' McKitty,TE,LAC,9.558562483082218,-5.261570652879561
339,Jake Ferguson,TE,DAL,9.558562483082218,-5.261570652879561
340,Grant Calcaterra,TE,PHI,9.558562483082218,-5.261570652879561
341,Zach Gentry,TE,PIT,9.558562483082218,-5.261570652879561
342,Joseph Fortson,TE,KC,9.558562483082218,-5.261570652879561
343,Kendall Blanton,TE,KC,9.558562483082218,-5.261570652879561
344,Trevon Wesco,TE,CHI,9.558562483082218,-5.261570652879561
345,Tyler Mabry,TE,SEA,9.558562483082218,-5.261570652879561
346,Ben Ellefson,TE,MIN,9.558562483082218,-5.261570652879561
347,Giovanni Ricci,TE,CAR,9.558562483082218,-5.261570652879561
348,Noah Togiai,TE,PHI,9.558562483082218,-5.261570652879561
349,Sean McKeon,TE,DAL,9.558562483082218,-5.261570652879561
350,Jake Tonges,TE,CHI,9.558562483082218,-5.261570652879561
351,Lawrence Cager,TE,NYG,9.558562483082218,-5.261570652879561
352,Devin Asiasi,TE,CIN,9.558562483082218,-5.261570652879561
353,Tyler Davis,TE,GB,9.558562483082218,-5.261570652879561
354,Josh Oliver,TE,BAL,9.558562483082218,-5.261570652879561
355,Mitchell Wilcox,TE,CIN,9.558562483082218,-5.261570652879561
356,Irv Smith,TE,MIN,9.558562483082218,-5.261570652879561
357,Jesper Horsted,TE,LV,9.558562483082218,-5.261570652879561
358,Andrew Beck,TE,DEN,9.558562483082218,-5.261570652879561
359,Armani Rogers,TE,WAS,9.558562483082218,-5.261570652879561
360,Adam Trautman,TE,NO,9.558562483082218,-5.261570652879561
361,Jeremy Ruckert,TE,NYJ,9.558562483082218,-5.261570652879561
362,Stone Smartt,TE,LAC,9.558562483082218,-5.261570652879561
363,Teagan Quitoriano,TE,HOU,9.558562483082218,-5.261570652879561
364,Albert Okwuegbunam,TE,DEN,9.558562483082218,-5.261570652879561
365,Ko Kieft,TE,TB,9.558562483082218,-5.261570652879561
366,Josiah Deguara,TE,GB,9.558562483082218,-5.261570652879561
367,Ian Thomas,TE,CAR,9.558562483082218,-5.261570652879561
368,Drew Sample,TE,CIN,9.558562483082218,-5.261570652879561
369,Kendrick Bourne,WR,NE,14.36656579718675,-5.275825227523336
370,Stephen Anderson,TE,ARI,9.539491792572813,-5.280641343388966
371,Christopher Uzomah,TE,NYJ,9.539491792572813,-5.280641343388966
372,Richard Rodgers,TE,LAC,9.539491792572813,-5.280641343388966
373,Christopher Manhertz,TE,JAX,9.539491792572813,-5.280641343388966
374,Nicholas Vannett,TE,NYG,9.539491792572813,-5.280641343388966
375,Tyler Kroft,TE,SF,9.539491792572813,-5.280641343388966
376,Eric Tomlinson,TE,DEN,9.539491792572813,-5.280641343388966
377,Daniel Bellinger,TE,NYG,9.537628498625919,-5.28250463733586
378,Kylen Granson,TE,IND,9.537628498625919,-5.28250463733586
379,Harrison Bryant,TE,CLE,9.537628498625919,-5.28250463733586
380,Noah Gray,TE,KC,9.537628498625919,-5.28250463733586
381,Trey McBride,TE,ARI,9.537628498625919,-5.28250463733586
382,James Garoppolo,QB,SF,25.954375240856994,-5.2845534088137285
383,Blake Bell,TE,KC,9.49965403913277,-5.320479096829009
384,Taysom Hill,TE,NO,9.49965403913277,-5.320479096829009
385,Cameron Brate,TE,TB,9.49965403913277,-5.320479096829009
386,Ryan Griffin,TE,CHI,9.49965403913277,-5.320479096829009
387,Kyle Rudolph,TE,TB,9.49965403913277,-5.320479096829009
388,Marcedes Lewis,TE,GB,9.49965403913277,-5.320479096829009
389,Isaiah McKenzie,WR,BUF,14.30600301438398,-5.336388010326106
390,Romeo Doubs,WR,GB,14.271124313029652,-5.371266711680434
391,Marvin Jones,WR,JAX,14.233768331950829,-5.408622692759257
392,Bennie Jennings,WR,SF,14.21448007714946,-5.427910947560626
393,Sam Darnold,QB,CAR,25.77198361648438,-5.466945033186342
394,Jameson Williams,WR,DET,14.15567997429554,-5.486711050414547
395,Chatarius Atwell,WR,LA,14.149311270291152,-5.493079754418934
396,Deven Thompkins,WR,TB,14.149311270291152,-5.493079754418934
397,Skyy Moore,WR,KC,14.149311270291152,-5.493079754418934
398,Tyquan Thornton,WR,NE,14.149311270291152,-5.493079754418934
399,Michael Gallup,WR,DAL,14.123344166425248,-5.519046858284838
400,Gunner Olszewski,WR,PIT,14.099035738415347,-5.543355286294739
401,Montrell Washington,WR,DEN,14.09266703441096,-5.549723990299126
402,Bennett Skowronek,WR,LA,14.09266703441096,-5.549723990299126
403,Jalen Reagor,WR,MIN,14.09266703441096,-5.549723990299126
404,Darryl Turner,WR,LV,14.09266703441096,-5.549723990299126
405,Kahlee Hamler,WR,DEN,14.09266703441096,-5.549723990299126
406,Samuel Ehlinger,QB,IND,25.65743514359305,-5.5814935060776705
407,Bryce Perkins,QB,LA,25.65743514359305,-5.5814935060776705
