overall_rank,player_name,position,team,predicted_points,vor
95,Michael Williams,WR,LAC,19.990640912274426,-0.2938426514448409
96,Justin Fields,QB,CHI,31.946303678743767,-0.3438976136082218
97,Donovan Peoples-Jones,WR,CLE,19.861672415483074,-0.4486048475944628
98,Jonathan Taylor,RB,IND,23.1713586629848,-0.5052700681173459
99,Courtland Sutton,WR,DEN,19.701092541458554,-0.6413006964238874
100,Tyler Boyd,WR,CIN,19.642391024710086,-0.7117425165220481
101,Tyler Allgeier,RB,ATL,22.887676110338422,-0.9307938970869145
102,Lamar Jackson,QB,BAL,31.238928649670722,-0.9805351397739624
103,George Pickens,WR,PIT,19.350351079405975,-1.0621904508869817
104,Keenan Allen,WR,LAC,19.292472567839678,-1.1316446647665386
105,Jahan Dotson,WR,WAS,19.17045850712318,-1.278061537626337
106,D'Andre Swift,RB,DET,22.549680518835334,-1.437787284341546
107,Joshua Palmer,WR,LAC,19.034958082909352,-1.4406620466829294
108,Adam Thielen,WR,MIN,19.021911145738713,-1.4563183712876964
109,Rayne Prescott,QB,DAL,30.61818656529315,-1.5392030157137768
110,Robert Tonyan,TE,GB,13.656322275034281,-1.629335205298497
111,Brian Robinson,RB,WAS,22.409349866822136,-1.6482832623613426
112,Jordan Akins,TE,HOU,13.58663075378266,-1.7269033350507654
113,Khalil Herbert,RB,CHI,22.31890697594554,-1.7839475986762352
114,Hayden Hurst,TE,CIN,12.887946603560495,-2.705061145361797
115,Russell Wilson,QB,DEN,29.30515833426198,-2.7209284236418316
116,Hunter Henry,TE,NE,12.708227273422368,-2.956668207555175
117,Chigoziem Okonkwo,TE,TEN,12.625876494659684,-3.071959297822933
118,Austin Hooper,TE,TEN,12.56707286163023,-3.1542843840641686
119,Andrew Dalton,QB,NO,28.78613146772532,-3.188052603524825
120,Zachary Ertz,TE,ARI,12.541667661774444,-3.189851663862269
121,Kyler Murray,QB,ARI,28.773652002558407,-3.199284122175046
122,Michael Gesicki,TE,MIA,12.507402838934244,-3.237822415838549
123,Marcus Mariota,QB,ATL,28.657581128761034,-3.3037479085926815
124,Rachaad White,RB,TB,21.062118750165382,-3.669129937346474
125,Foster Moreau,TE,LV,12.180627178617435,-3.6953083402820814
126,Cade Otton,TE,TB,12.152597017338275,-3.7345505660729055
127,Isaiah Likely,TE,BAL,12.027575915999728,-3.9095801079468706
128,Gregory Dulcich,TE,DEN,11.963489120299576,-3.9993016219270845
129,Antonio Gibson,RB,WAS,20.8412274549858,-4.00046688011585
130,Kyle Pitts,TE,ATL,11.945891385295184,-4.023938450933233
