player_id,player_name,team,position,predicted_points,vor_value,position_rank,is_replacement_level,tier,age,bye_week,adp,adjusted_score,scarcity_multiplier,overall_rank,overall_tier,rb_tier,wr_tier,te_tier,qb_tier
00-0039379,Jamari Thrash,CLE,WR,2.4881469006574317,-4.721825263184637,173,False,16,25,7,-1,-4.72,1.0,451,8,,6.0,,
00-0036187,,BUF,RB,1.4170133679476324,-4.723475641938453,133,False,15,25,7,-1,-5.67,1.2,452,8,6.0,,,
00-0037827,Tyrion Davis-Price,PHI,RB,1.4170133679476322,-4.723475641938453,134,False,15,25,7,-1,-5.67,1.2,453,8,6.0,,,
00-0032918,,MIN,RB,1.4038452653969988,-4.736643744489086,135,False,15,25,7,-1,-5.68,1.2,454,8,6.0,,,
00-0039816,Anthony Gould,IND,WR,2.4615530938252137,-4.748419070016855,174,False,16,25,7,-1,-4.75,1.0,455,8,,6.0,,
00-0039451,Isaiah Williams,CIN,WR,2.4613328306227484,-4.7486393332193195,175,False,16,25,7,-1,-4.75,1.0,456,8,,6.0,,
00-0039365,Jacob Cowing,SF,WR,2.459705665897197,-4.750266497944871,176,False,16,25,7,-1,-4.75,1.0,457,8,,6.0,,
00-0035021,Ashton Dulin,IND,WR,2.459109093478755,-4.750863070363313,177,False,16,25,7,-1,-4.75,1.0,458,8,,6.0,,
00-0036620,Dee Eskridge,MIA,WR,2.4557148430211972,-4.754257320820871,178,False,16,25,7,-1,-4.75,1.0,459,8,,6.0,,
00-0036955,Terrace Marshall Jr.,LV,WR,2.449967476354306,-4.760004687487763,179,False,16,25,7,-1,-4.76,1.0,460,8,,6.0,,
00-0039603,British Brooks,HOU,RB,1.3727659420399334,-4.767723067846152,136,False,15,25,7,-1,-5.72,1.2,461,8,6.0,,,
00-0034854,KhaDarel Hodge,ATL,WR,2.430945417664832,-4.779026746177236,180,False,16,25,7,-1,-4.78,1.0,462,8,,6.0,,
00-0039811,MarShawn Lloyd,GB,RB,1.3489379548276978,-4.791551055058387,137,False,15,25,7,-1,-5.75,1.2,463,8,6.0,,,
00-0036176,Mason Kinsey,TEN,WR,2.413224192367529,-4.79674797147454,181,False,16,25,7,-1,-4.8,1.0,464,8,,6.0,,
00-0037382,Brandon Johnson,PIT,WR,2.413224192367529,-4.79674797147454,182,False,16,25,7,-1,-4.8,1.0,465,8,,6.0,,
00-0037422,Kendric Pryor,CIN,WR,2.413224192367529,-4.79674797147454,183,False,16,25,7,-1,-4.8,1.0,466,8,,6.0,,
00-0037609,Aaron Shampklin,PIT,RB,1.342869977287892,-4.7976190325981936,138,False,15,25,7,-1,-5.76,1.2,467,8,6.0,,,
00-0037745,Velus Jones Jr.,CAR,RB,1.335495489809829,-4.804993520076256,139,False,15,25,7,-1,-5.77,1.2,468,8,6.0,,,
00-0039244,Chris Collier,LV,RB,1.321766649876733,-4.818722360009352,140,False,15,25,7,-1,-5.78,1.2,469,8,6.0,,,
00-0039364,Sione Vaki,DET,RB,1.3212489077624898,-4.8192401021235955,141,False,15,25,7,-1,-5.78,1.2,470,8,6.0,,,
00-0035602,Alex Bachman,LV,WR,2.3577961340092006,-4.852176029832868,184,False,16,25,7,-1,-4.85,1.0,471,8,,6.0,,
00-0039573,Blake Watson,DEN,RB,1.2756827185138497,-4.864806291372235,142,False,15,25,7,-1,-5.84,1.2,472,8,6.0,,,
00-0036670,Jermar Jefferson,DET,RB,1.2754226711626193,-4.865066338723466,143,False,15,25,7,-1,-5.84,1.2,473,8,6.0,,,
00-0039920,Malachi Corley,NYJ,WR,2.3434930907179834,-4.866479073124085,185,False,16,25,7,-1,-4.87,1.0,474,8,,6.0,,
00-0039650,Bryce Oliver,TEN,WR,2.3422168549054745,-4.867755308936594,186,False,16,25,7,-1,-4.87,1.0,475,8,,6.0,,
00-0036254,Collin Johnson,CHI,WR,2.3219143991359257,-4.888057764706143,187,False,16,25,7,-1,-4.89,1.0,476,8,,6.0,,
00-0036497,Tim Jones,JAX,WR,2.320720285242829,-4.889251878599239,188,False,16,25,7,-1,-4.89,1.0,477,8,,6.0,,
00-0033460,John Ross,PHI,WR,2.3197708602533704,-4.890201303588698,189,False,16,25,7,-1,-4.89,1.0,478,8,,6.0,,
00-0039792,Devontez Walker,BAL,WR,2.316395301382034,-4.893576862460034,190,False,16,25,7,-1,-4.89,1.0,479,8,,6.0,,
00-0038465,Malik Heath,GB,WR,2.315634778801415,-4.894337385040654,191,False,16,25,7,-1,-4.89,1.0,480,8,,6.0,,
00-0038507,Grant DuBose,MIA,WR,2.31065174817149,-4.899320415670578,192,False,16,25,7,-1,-4.9,1.0,481,8,,6.0,,
00-0039394,Casey Washington,ATL,WR,2.3066104876018927,-4.903361676240175,193,False,16,25,7,-1,-4.9,1.0,482,8,,6.0,,
00-0034353,Anthony Miller,BAL,WR,2.3061945601050193,-4.9037776037370495,194,False,16,25,7,-1,-4.9,1.0,483,8,,6.0,,
00-0036841,Austin Trammell,JAX,WR,2.3057453036031146,-4.904226860238953,195,False,16,25,7,-1,-4.9,1.0,484,8,,6.0,,
00-0035976,Dan Chisena,CAR,WR,2.3043302602721,-4.905641903569968,196,False,16,25,7,-1,-4.91,1.0,485,8,,6.0,,
00-0037524,Tay Martin,TEN,WR,2.2922776629829533,-4.917694500859115,197,False,16,25,7,-1,-4.92,1.0,486,8,,6.0,,
00-0032128,Chris Conley,SF,WR,2.286127405293184,-4.923844758548885,198,False,16,25,7,-1,-4.92,1.0,487,8,,6.0,,
00-0036913,Kadarius Toney,CLE,WR,2.276830842711148,-4.93314132113092,199,False,16,25,7,-1,-4.93,1.0,488,8,,6.0,,
00-0035891,Cody White,SEA,WR,2.2696488975882474,-4.940323266253821,200,False,16,25,7,-1,-4.94,1.0,489,8,,6.0,,
00-0039703,Cody Schrader,LA,RB,1.1992147327312046,-4.94127427715488,144,False,15,25,7,-1,-5.93,1.2,490,8,6.0,,,
00-0033292,Trent Taylor,SF,WR,2.260121605382642,-4.949850558459426,201,False,16,25,7,-1,-4.95,1.0,491,8,,6.0,,
00-0036862,Ben Skowronek,PIT,WR,2.255368679853826,-4.954603483988242,202,False,16,25,7,-1,-4.95,1.0,492,8,,6.0,,
00-0039299,George Holani,SEA,RB,1.1811788843728022,-4.959310125513284,145,False,15,25,7,-1,-5.95,1.2,493,8,6.0,,,
00-0039589,Kameron Johnson,TB,WR,2.2426713083593794,-4.967300855482689,203,False,16,25,7,-1,-4.97,1.0,494,8,,6.0,,
00-0033537,Deshaun Watson,CLE,QB,11.622198822618463,-4.978390572743971,28,False,8,25,7,-1,-3.98,0.8,495,8,,,,5.0
00-0034646,Brandon Powell,MIN,WR,2.2269543259892264,-4.983017837852842,204,False,16,25,7,-1,-4.98,1.0,496,8,,6.0,,
00-0039410,Ryan Flournoy,DAL,WR,2.2204834923342243,-4.989488671507845,205,False,16,25,7,-1,-4.99,1.0,497,8,,6.0,,
00-0038090,Skyy Moore,KC,WR,2.217231166616951,-4.992740997225118,206,False,16,25,7,-1,-4.99,1.0,498,8,,6.0,,
00-0039521,Xavier Weaver,ARI,WR,2.217231166616951,-4.992740997225118,207,False,16,25,7,-1,-4.99,1.0,499,8,,6.0,,
00-0031280,Derek Carr,NO,QB,11.601079727017254,-4.99950966834518,29,False,8,25,7,-1,-4.0,0.8,500,8,,,,5.0
00-0037216,Justyn Ross,KC,WR,2.192182395695032,-5.017789768147036,208,False,16,25,7,-1,-5.02,1.0,501,8,,6.0,,
00-0038092,Erik Ezukanma,MIA,WR,2.192182395695032,-5.017789768147036,209,False,16,25,7,-1,-5.02,1.0,502,8,,6.0,,
00-0038477,Bryce Ford-Wheaton,NYG,WR,2.192182395695032,-5.017789768147036,210,False,16,25,7,-1,-5.02,1.0,503,8,,6.0,,
00-0038679,Tyrell Shavers,BUF,WR,2.191149969690973,-5.018822194151095,211,False,16,25,7,-1,-5.02,1.0,504,8,,6.0,,
00-0039614,Jermaine Jackson,NO,WR,2.190135663665157,-5.019836500176911,212,False,16,25,7,-1,-5.02,1.0,505,8,,6.0,,
00-0038519,Nikko Remigio,KC,WR,2.185829961492482,-5.024142202349586,213,False,16,25,7,-1,-5.02,1.0,506,8,,6.0,,
00-0035704,Drew Lock,NYG,QB,11.567979109367148,-5.032610285995286,30,False,8,25,7,-1,-4.03,0.8,507,8,,,,6.0
00-0037156,Irvin Charles,NYJ,WR,2.1713450397650638,-5.038627124077005,214,False,16,25,7,-1,-5.04,1.0,508,8,,6.0,,
00-0034419,Braxton Berrios,MIA,WR,2.1674635236232533,-5.042508640218815,215,False,16,25,7,-1,-5.04,1.0,509,8,,6.0,,
00-0035544,Tom Kennedy,DET,WR,2.1674635236232533,-5.042508640218815,216,False,16,25,7,-1,-5.04,1.0,510,8,,6.0,,
00-0034928,Steven Sims,BAL,WR,2.160425071988479,-5.049547091853589,217,False,16,25,7,-1,-5.05,1.0,511,8,,6.0,,
00-0036635,Ihmir Smith-Marsette,NYG,WR,2.1598013905083056,-5.050170773333763,218,False,16,25,7,-1,-5.05,1.0,512,8,,6.0,,
00-0037093,Dareke Young,SEA,WR,2.1598013905083056,-5.050170773333763,219,False,16,25,7,-1,-5.05,1.0,513,8,,6.0,,
