Overall_Rank,Player_Name,Team,Position,Position_Rank,Predicted_FPPG,Games_Played,Predicted_Seasonal_Points,VOR_Value,Tier,Draft_Tier,Is_Replacement_Level
56,Calvin Ridley,TEN,WR,17,8.18,17,139.1,31.4,1,Solid (4th-5th Round),False
57,Justin Herbert,LAC,QB,8,17.7,17,300.9,31.2,1,Solid (4th-5th Round),False
58,Jared Goff,DET,QB,9,17.62,17,299.6,29.8,1,Solid (4th-5th Round),False
59,Sam Darnold,MIN,QB,10,17.59,17,299.1,29.3,1,Solid (4th-5th Round),False
60,Marvin Harrison Jr.,ARI,WR,18,8.0,17,136.0,28.3,1,Solid (4th-5th Round),False
61,Courtland Sutton,DEN,WR,19,8.48,16,135.7,28.0,1,Depth (6th-8th Round),False
62,Brian Robinson,WAS,RB,26,8.69,14,121.6,26.9,1,Depth (6th-8th Round),False
63,Travis Kelce,KC,TE,8,6.58,16,105.2,26.2,1,Depth (6th-8th Round),False
64,Pat Freiermuth,PIT,TE,9,6.17,17,104.9,25.8,1,Depth (6th-8th Round),False
65,Caleb Williams,CHI,QB,11,17.37,17,295.2,25.5,1,Depth (6th-8th Round),False
66,Jakobi Meyers,LV,WR,20,8.86,15,132.9,25.2,1,Depth (6th-8th Round),False
67,Kyle Pitts,ATL,TE,10,6.07,17,103.3,24.2,1,Depth (6th-8th Round),False
68,Jameson Williams,DET,WR,21,8.76,15,131.5,23.8,1,Depth (6th-8th Round),False
69,Jayden Reed,GB,WR,22,7.64,17,130.0,22.3,1,Depth (6th-8th Round),False
70,Geno Smith,SEA,QB,12,17.03,17,289.6,19.8,1,Depth (6th-8th Round),False
71,Jauan Jennings,SF,WR,23,8.49,15,127.3,19.6,1,Depth (6th-8th Round),False
72,Rhamondre Stevenson,NE,RB,27,7.58,15,113.6,18.9,1,Depth (6th-8th Round),False
73,Tank Bigsby,JAX,RB,28,7.56,15,113.5,18.7,1,Depth (6th-8th Round),False
74,Zach Ertz,WAS,TE,11,5.73,17,97.5,18.4,1,Depth (6th-8th Round),False
75,Mike Gesicki,CIN,TE,12,5.83,16,93.2,14.2,1,Depth (6th-8th Round),False
76,Mike Evans,TB,WR,24,8.65,14,121.1,13.4,1,Depth (6th-8th Round),False
77,Juwan Johnson,NO,TE,13,6.13,15,92.0,12.9,1,Depth (6th-8th Round),False
78,Jerome Ford,CLE,RB,29,7.68,14,107.5,12.8,1,Depth (6th-8th Round),False
79,Rachaad White,TB,RB,30,7.17,15,107.5,12.8,1,Depth (6th-8th Round),False
80,Davante Adams,NYJ,WR,25,8.59,14,120.2,12.5,1,Depth (6th-8th Round),False
81,Tyler Allgeier,ATL,RB,31,6.27,17,106.7,11.9,2,Depth (6th-8th Round),False
82,Jordan Mason,SF,RB,32,8.84,12,106.1,11.4,2,Depth (6th-8th Round),False
83,Patrick Mahomes,KC,QB,13,17.55,16,280.7,11.0,2,Depth (6th-8th Round),False
84,Wan'Dale Robinson,NYG,WR,26,6.9,17,117.2,9.5,2,Depth (6th-8th Round),False
85,A.J. Brown,PHI,WR,27,9.01,13,117.1,9.4,2,Depth (6th-8th Round),False
86,Darnell Mooney,ATL,WR,28,7.23,16,115.7,8.0,2,Depth (6th-8th Round),False
87,Austin Hooper,NE,TE,14,5.06,17,86.1,7.0,2,Depth (6th-8th Round),False
88,Aaron Rodgers,NYJ,QB,14,16.28,17,276.7,6.9,3,Depth (6th-8th Round),False
89,Javonte Williams,DEN,RB,33,5.97,17,101.5,6.8,3,Depth (6th-8th Round),False
90,Xavier Worthy,KC,WR,29,7.07,16,113.1,5.4,3,Depth (6th-8th Round),False
91,Josh Downs,IND,WR,30,8.07,14,113.0,5.3,3,Depth (6th-8th Round),False
92,Rome Odunze,CHI,WR,31,6.62,17,112.5,4.8,3,Depth (6th-8th Round),False
93,Jaleel McLaughlin,DEN,RB,34,6.14,16,98.2,3.5,4,Depth (6th-8th Round),False
94,Tee Higgins,CIN,WR,32,9.25,12,111.0,3.3,3,Depth (6th-8th Round),False
95,DeVonta Smith,PHI,WR,33,8.46,13,110.0,2.3,4,Depth (6th-8th Round),False
96,DK Metcalf,SEA,WR,34,7.28,15,109.2,1.5,4,Depth (6th-8th Round),False
97,Khalil Shakir,BUF,WR,35,7.24,15,108.6,0.9,4,Depth (6th-8th Round),False
98,Kenneth Walker III,SEA,RB,35,8.63,11,94.9,0.1,4,Depth (6th-8th Round),False
99,Brock Purdy,SF,QB,15,17.98,15,269.8,0.0,4,Depth (6th-8th Round),True
100,Antonio Gibson,NE,RB,36,5.57,17,94.8,0.0,4,Depth (6th-8th Round),True
101,Keenan Allen,CHI,WR,36,7.18,15,107.7,0.0,4,Waiver Wire/Handcuff,True
102,Hunter Henry,NE,TE,15,4.94,16,79.1,0.0,4,Waiver Wire/Handcuff,True
103,Kareem Hunt,KC,RB,37,7.29,13,94.7,-0.0,5,Waiver Wire/Handcuff,False
104,Rashod Bateman,BAL,WR,37,6.69,16,107.0,-0.7,5,Waiver Wire/Handcuff,False
105,Nico Collins,HOU,WR,38,8.79,12,105.5,-2.2,5,Waiver Wire/Handcuff,False
106,Jaylen Warren,PIT,RB,38,6.15,15,92.3,-2.5,5,Waiver Wire/Handcuff,False
107,Cade Otton,TB,TE,16,5.42,14,75.9,-3.1,6,Waiver Wire/Handcuff,False
108,C.J. Stroud,HOU,QB,16,15.64,17,265.8,-3.9,5,Waiver Wire/Handcuff,False
109,George Pickens,PIT,WR,39,7.34,14,102.7,-5.0,6,Waiver Wire/Handcuff,False
110,Alec Pierce,IND,WR,40,6.37,16,102.0,-5.7,6,Waiver Wire/Handcuff,False
111,Quentin Johnston,LAC,WR,41,6.79,15,101.9,-5.8,6,Waiver Wire/Handcuff,False
112,Ray Davis,BUF,RB,39,5.55,16,88.8,-5.9,6,Waiver Wire/Handcuff,False
113,Chig Okonkwo,TEN,TE,17,4.53,16,72.5,-6.6,6,Waiver Wire/Handcuff,False
114,Puka Nacua,LA,WR,42,9.19,11,101.0,-6.6,6,Waiver Wire/Handcuff,False
115,Emanuel Wilson,GB,RB,40,5.18,17,88.1,-6.7,6,Waiver Wire/Handcuff,False
116,Braelon Allen,NYJ,RB,41,5.1,17,86.7,-8.0,6,Waiver Wire/Handcuff,False
117,Isaiah Likely,BAL,TE,18,4.65,15,69.8,-9.3,6,Waiver Wire/Handcuff,False
118,Jalen Tolbert,DAL,WR,43,5.71,17,97.0,-10.7,6,Waiver Wire/Handcuff,False
119,Michael Pittman,IND,WR,44,6.05,16,96.8,-10.9,6,Waiver Wire/Handcuff,False
120,Travis Etienne,JAX,RB,42,5.56,15,83.4,-11.3,6,Waiver Wire/Handcuff,False
121,Ray-Ray McCloud,ATL,WR,45,5.57,17,94.6,-13.1,6,Waiver Wire/Handcuff,False
122,Jalen Hurts,PHI,QB,17,17.1,15,256.5,-13.2,6,Waiver Wire/Handcuff,False
123,Cole Kmet,CHI,TE,19,4.69,14,65.7,-13.4,6,Waiver Wire/Handcuff,False
124,Jaylen Waddle,MIA,WR,46,6.28,15,94.2,-13.5,6,Waiver Wire/Handcuff,False
125,Dalton Schultz,HOU,TE,20,3.85,17,65.4,-13.6,6,Waiver Wire/Handcuff,False
126,Will Dissly,LAC,TE,21,4.36,15,65.3,-13.7,6,Waiver Wire/Handcuff,False
127,Noah Fant,SEA,TE,22,4.64,14,65.0,-14.1,6,Waiver Wire/Handcuff,False
128,DeMario Douglas,NE,WR,47,5.85,16,93.5,-14.2,6,Waiver Wire/Handcuff,False
129,Noah Gray,KC,TE,23,3.92,16,62.7,-16.3,6,Waiver Wire/Handcuff,False
130,Ty Johnson,BUF,RB,43,4.57,17,77.8,-17.0,6,Waiver Wire/Handcuff,False
131,Matthew Stafford,LA,QB,18,15.74,16,251.8,-17.9,6,Waiver Wire/Handcuff,False
132,Tyler Conklin,NYJ,TE,24,3.79,16,60.6,-18.5,6,Waiver Wire/Handcuff,False
133,Kayshon Boutte,NE,WR,48,5.95,15,89.2,-18.5,6,Waiver Wire/Handcuff,False
134,Devin Singletary,NYG,RB,44,5.08,15,76.2,-18.5,6,Waiver Wire/Handcuff,False
135,Kenneth Gainwell,PHI,RB,45,4.76,16,76.1,-18.6,6,Waiver Wire/Handcuff,False
136,Isaac Guerendo,SF,RB,46,5.85,13,76.1,-18.7,6,Waiver Wire/Handcuff,False
137,Christian Watson,GB,WR,49,6.3,14,88.3,-19.4,6,Waiver Wire/Handcuff,False
138,Cam Akers,MIN,RB,47,5.0,15,75.0,-19.7,6,Waiver Wire/Handcuff,False
139,Jake Ferguson,DAL,TE,25,4.23,14,59.3,-19.8,6,Waiver Wire/Handcuff,False
140,Justice Hill,BAL,RB,48,4.93,15,73.9,-20.8,6,Waiver Wire/Handcuff,False
141,Cooper Kupp,LA,WR,50,7.21,12,86.5,-21.2,6,Waiver Wire/Handcuff,False
142,Austin Ekeler,WAS,RB,49,6.13,12,73.6,-21.2,6,Waiver Wire/Handcuff,False
143,Marvin Mims Jr.,DEN,WR,51,5.36,16,85.8,-21.9,6,Waiver Wire/Handcuff,False
144,Tank Dell,HOU,WR,52,6.12,14,85.6,-22.1,6,Waiver Wire/Handcuff,False
145,Foster Moreau,NO,TE,26,3.8,15,57.0,-22.1,6,Waiver Wire/Handcuff,False
146,Josh Palmer,LAC,WR,53,5.71,15,85.6,-22.1,6,Waiver Wire/Handcuff,False
147,Dalton Kincaid,BUF,TE,27,4.24,13,55.1,-24.0,6,Waiver Wire/Handcuff,False
148,Jordan Akins,CLE,TE,28,3.39,16,54.2,-24.8,6,Waiver Wire/Handcuff,False
149,Jordan Love,GB,QB,19,16.28,15,244.1,-25.6,6,Waiver Wire/Handcuff,False
150,Tyjae Spears,TEN,RB,50,5.69,12,68.3,-26.4,6,Waiver Wire/Handcuff,False
151,Dawson Knox,BUF,TE,29,3.75,14,52.5,-26.6,6,Waiver Wire/Handcuff,False
152,Jaylen Wright,MIA,RB,51,5.22,13,67.9,-26.8,6,Waiver Wire/Handcuff,False
153,Tutu Atwell,LA,WR,54,5.38,15,80.7,-27.0,6,Waiver Wire/Handcuff,False
154,Alexander Mattison,LV,RB,52,4.82,14,67.5,-27.3,6,Waiver Wire/Handcuff,False
155,DeAndre Hopkins,KC,WR,55,5.0,16,80.0,-27.7,6,Waiver Wire/Handcuff,False
156,Andrei Iosivas,CIN,WR,56,4.63,17,78.7,-29.0,6,Waiver Wire/Handcuff,False
157,Michael Wilson,ARI,WR,57,4.86,16,77.8,-29.9,6,Waiver Wire/Handcuff,False
158,Blake Corum,LA,RB,53,4.63,14,64.8,-29.9,6,Waiver Wire/Handcuff,False
159,Audric Estimé,DEN,RB,54,4.98,13,64.7,-30.0,6,Waiver Wire/Handcuff,False
160,Deebo Samuel Sr.,SF,WR,58,5.55,14,77.6,-30.1,6,Waiver Wire/Handcuff,False
161,David Njoku,CLE,TE,30,4.38,11,48.2,-30.8,6,Waiver Wire/Handcuff,False
162,Dallas Goedert,PHI,TE,31,4.81,10,48.1,-30.9,6,Waiver Wire/Handcuff,False
163,Calvin Austin III,PIT,WR,59,4.51,17,76.7,-31.0,6,Waiver Wire/Handcuff,False
164,Demarcus Robinson,LA,WR,60,4.51,17,76.7,-31.0,6,Waiver Wire/Handcuff,False
165,Romeo Doubs,GB,WR,61,5.88,13,76.4,-31.3,6,Waiver Wire/Handcuff,False
166,Adonai Mitchell,IND,WR,62,4.46,17,75.8,-31.9,6,Waiver Wire/Handcuff,False
167,Elijah Moore,CLE,WR,63,4.46,17,75.8,-31.9,6,Waiver Wire/Handcuff,False
168,Brenton Strange,JAX,TE,32,3.36,14,47.1,-32.0,6,Waiver Wire/Handcuff,False
169,Sean Tucker,TB,RB,55,5.64,11,62.1,-32.7,6,Waiver Wire/Handcuff,False
170,Tyler Lockett,SEA,WR,64,4.41,17,75.0,-32.7,6,Waiver Wire/Handcuff,False
171,Jeremy McNichols,WAS,RB,56,4.43,14,62.0,-32.8,6,Waiver Wire/Handcuff,False
172,Tre Tucker,LV,WR,65,4.39,17,74.6,-33.1,6,Waiver Wire/Handcuff,False
173,Ja'Tavion Sanders,CAR,TE,33,2.99,15,44.8,-34.3,6,Waiver Wire/Handcuff,False
174,Grant Calcaterra,PHI,TE,34,3.42,13,44.5,-34.6,6,Waiver Wire/Handcuff,False
175,T.J. Hockenson,MIN,TE,35,4.37,10,43.7,-35.3,6,Waiver Wire/Handcuff,False
176,Trey Benson,ARI,RB,57,4.93,12,59.1,-35.6,6,Waiver Wire/Handcuff,False
177,Keon Coleman,BUF,WR,66,5.47,13,71.1,-36.6,6,Waiver Wire/Handcuff,False
178,AJ Barner,SEA,TE,36,2.98,14,41.8,-37.3,6,Waiver Wire/Handcuff,False
179,Ameer Abdullah,LV,RB,58,4.38,13,56.9,-37.9,6,Waiver Wire/Handcuff,False
180,Dare Ogunbowale,HOU,RB,59,3.78,15,56.6,-38.1,6,Waiver Wire/Handcuff,False
181,Jeremy Ruckert,NYJ,TE,37,3.15,13,40.9,-38.2,6,Waiver Wire/Handcuff,False
182,Samaje Perine,KC,RB,60,3.33,17,56.6,-38.2,6,Waiver Wire/Handcuff,False
183,Jalen Nailor,MIN,WR,67,4.61,15,69.2,-38.5,6,Waiver Wire/Handcuff,False
184,Kylen Granson,IND,TE,38,2.88,14,40.3,-38.7,6,Waiver Wire/Handcuff,False
185,Adam Thielen,CAR,WR,68,6.86,10,68.6,-39.1,6,Waiver Wire/Handcuff,False
186,Colby Parkinson,LA,TE,39,2.66,15,39.9,-39.1,6,Waiver Wire/Handcuff,False
187,Ezekiel Elliott,LAC,RB,61,3.65,15,54.8,-40.0,6,Waiver Wire/Handcuff,False
188,Jalen McMillan,TB,WR,69,5.19,13,67.5,-40.2,6,Waiver Wire/Handcuff,False
189,Carson Steele,KC,RB,62,4.5,12,54.0,-40.7,6,Waiver Wire/Handcuff,False
190,D'Ernest Johnson,JAX,RB,63,4.49,12,53.9,-40.9,6,Waiver Wire/Handcuff,False
191,Darius Slayton,NYG,WR,70,4.17,16,66.8,-40.9,6,Waiver Wire/Handcuff,False
192,Johnny Mundt,MIN,TE,40,2.9,13,37.7,-41.3,6,Waiver Wire/Handcuff,False
193,Dontayvion Wicks,GB,WR,71,3.87,17,65.8,-41.9,6,Waiver Wire/Handcuff,False
194,Adam Trautman,DEN,TE,41,2.84,13,36.9,-42.1,6,Waiver Wire/Handcuff,False
195,Xavier Legette,CAR,WR,72,4.37,15,65.5,-42.2,6,Waiver Wire/Handcuff,False
196,Cordarrelle Patterson,PIT,RB,64,4.03,13,52.4,-42.4,6,Waiver Wire/Handcuff,False
197,Darnell Washington,PIT,TE,42,2.76,13,35.9,-43.2,6,Waiver Wire/Handcuff,False
198,Emari Demercado,ARI,RB,65,3.96,13,51.5,-43.2,6,Waiver Wire/Handcuff,False
199,KaVontae Turpin,DAL,WR,73,4.29,15,64.3,-43.4,6,Waiver Wire/Handcuff,False
200,Josh Oliver,MIN,TE,43,3.23,11,35.5,-43.5,6,Waiver Wire/Handcuff,False
201,Theo Johnson,NYG,TE,44,3.55,10,35.5,-43.6,6,Waiver Wire/Handcuff,False
202,Elijah Higgins,ARI,TE,45,2.53,14,35.4,-43.7,6,Waiver Wire/Handcuff,False
203,Josh Whyle,TEN,TE,46,2.51,14,35.2,-43.9,6,Waiver Wire/Handcuff,False
204,Chris Brooks,GB,RB,66,4.52,11,49.7,-45.1,6,Waiver Wire/Handcuff,False
205,Michael Mayer,LV,TE,47,3.07,11,33.8,-45.3,6,Waiver Wire/Handcuff,False
206,Troy Franklin,DEN,WR,74,3.86,16,61.7,-46.0,6,Waiver Wire/Handcuff,False
207,Greg Dortch,ARI,WR,75,3.59,17,60.9,-46.7,6,Waiver Wire/Handcuff,False
208,Evan Engram,JAX,TE,48,3.58,9,32.3,-46.8,6,Waiver Wire/Handcuff,False
209,Isaiah Davis,NYJ,RB,67,5.31,9,47.8,-46.9,6,Waiver Wire/Handcuff,False
210,Nick Westbrook-Ikhine,TEN,WR,76,4.67,13,60.7,-47.0,6,Waiver Wire/Handcuff,False
211,Trey Sermon,IND,RB,68,3.41,14,47.7,-47.0,6,Waiver Wire/Handcuff,False
212,Mack Hollins,BUF,WR,77,3.75,16,60.1,-47.6,6,Waiver Wire/Handcuff,False
213,Mo Alie-Cox,IND,TE,49,2.62,12,31.4,-47.6,6,Waiver Wire/Handcuff,False
214,Amari Cooper,BUF,WR,78,4.6,13,59.8,-47.9,6,Waiver Wire/Handcuff,False
215,Jamaal Williams,NO,RB,69,3.59,13,46.7,-48.1,6,Waiver Wire/Handcuff,False
216,Cade Stover,HOU,TE,50,2.36,13,30.7,-48.4,6,Waiver Wire/Handcuff,False
217,Pierre Strong,CLE,RB,70,4.16,11,45.8,-49.0,6,Waiver Wire/Handcuff,False
218,Ricky Pearsall,SF,WR,79,5.85,10,58.5,-49.2,6,Waiver Wire/Handcuff,False
219,Parker Washington,JAX,WR,80,4.48,13,58.3,-49.4,6,Waiver Wire/Handcuff,False
220,Luke Schoonmaker,DAL,TE,51,2.95,10,29.5,-49.6,6,Waiver Wire/Handcuff,False
221,Tommy Tremble,CAR,TE,52,2.93,10,29.3,-49.7,6,Waiver Wire/Handcuff,False
222,Raheem Mostert,MIA,RB,71,3.75,12,44.9,-49.8,6,Waiver Wire/Handcuff,False
223,Dyami Brown,WAS,WR,81,3.85,15,57.8,-49.9,6,Waiver Wire/Handcuff,False
224,Roschon Johnson,CHI,RB,72,3.74,12,44.8,-49.9,6,Waiver Wire/Handcuff,False
225,Nate Adkins,DEN,TE,53,2.42,12,29.1,-50.0,6,Waiver Wire/Handcuff,False
226,Tyler Goodson,IND,RB,73,4.97,9,44.7,-50.0,6,Waiver Wire/Handcuff,False
227,Kimani Vidal,LAC,RB,74,4.94,9,44.5,-50.3,6,Waiver Wire/Handcuff,False
228,Andrew Ogletree,IND,TE,54,2.53,11,27.8,-51.3,6,Waiver Wire/Handcuff,False
229,Gus Edwards,LAC,RB,75,3.92,11,43.2,-51.6,6,Waiver Wire/Handcuff,False
230,Jalen Coker,CAR,WR,82,5.09,11,56.0,-51.7,6,Waiver Wire/Handcuff,False
231,Dameon Pierce,HOU,RB,76,4.7,9,42.3,-52.5,6,Waiver Wire/Handcuff,False
232,Van Jefferson,PIT,WR,83,3.68,15,55.2,-52.5,6,Waiver Wire/Handcuff,False
233,Hunter Luepke,DAL,RB,77,3.2,13,41.6,-53.2,6,Waiver Wire/Handcuff,False
234,D'Onta Foreman,CLE,RB,78,4.14,10,41.4,-53.3,6,Waiver Wire/Handcuff,False
235,Ty Chandler,MIN,RB,79,4.02,10,40.2,-54.6,6,Waiver Wire/Handcuff,False
236,Taysom Hill,NO,TE,55,3.04,8,24.4,-54.7,6,Waiver Wire/Handcuff,False
237,Lucas Krull,DEN,TE,56,2.41,10,24.1,-54.9,6,Waiver Wire/Handcuff,False
