overall_rank,player_name,position,team,predicted_points,raw_vor,vor
1,Jahmyr Gibbs,RB,DET,37.76128065749322,14.416681030214555,21.625021545321832
2,Saquon Barkley,RB,PHI,37.42028119571893,14.075681568440267,21.1135223526604
3,Ja'Marr Chase,WR,CIN,37.580382153912424,16.607739711448428,19.92928765373811
4,Bijan Robinson,RB,ATL,35.188207041380196,11.843607414101534,17.7654111211523
5,Josh Jacobs,RB,GB,34.1115753193334,10.766975692054736,16.150463538082104
6,Derrick Henry,RB,BAL,33.48268648815775,10.138086860879092,15.207130291318638
7,Justin Jefferson,WR,MIN,32.736070986345545,11.763428543881549,14.116114252657859
8,De'Von Achane,RB,MIA,32.700123026073285,9.355523398794624,14.033285098191936
9,Amon-Ra St. Brown,WR,DET,32.21831637343123,11.245673930967232,13.494808717160678
10,Terry McLaurin,WR,WAS,32.10875184531167,11.136109402847676,13.363331283417212
11,Bucky Irving,RB,TB,32.102547930625896,8.757948303347234,13.136922455020851
12,Joe Mixon,RB,HOU,32.09281459942979,8.748214972151132,13.122322458226698
13,Aaron Jones,RB,MIN,31.75738896072721,8.412789333448547,12.61918400017282
14,Kyren Williams,RB,LA,31.570498402680727,8.225898775402065,12.338848163103098
15,Brock Bowers,TE,LV,24.590022162324413,8.796567946951058,12.31519512573148
16,George Kittle,TE,SF,24.490676215187122,8.697221999813767,12.176110799739273
17,David Montgomery,RB,DET,31.373985441425233,8.029385814146572,12.044078721219858
18,Drake London,WR,ATL,30.813636611209024,9.840994168745027,11.809193002494032
19,Brian Thomas Jr.,WR,JAX,30.577552222370493,9.604909779906496,11.525891735887795
20,James Cook,RB,BUF,30.893564549620738,7.548964922342076,11.323447383513114
21,Malik Nabers,WR,NYG,30.03153332885484,9.058890886390845,10.870669063669014
22,Jonathan Taylor,RB,IND,30.562991892608515,7.218392265329854,10.82758839799478
23,Trey McBride,TE,ARI,23.5044008060122,7.710946590638844,10.79532522689438
24,Garrett Wilson,WR,NYJ,29.476824263393123,8.504181820929126,10.205018185114952
25,Lamar Jackson,QB,BAL,46.724320316775646,11.146076316649058,10.031468684984153
26,Baker Mayfield,QB,TB,46.5331027950383,10.954858794911715,9.859372915420543
27,Courtland Sutton,WR,DEN,29.08136757815603,8.108725135692033,9.73047016283044
28,Alvin Kamara,RB,NO,29.802309265181286,6.457709637902624,9.686564456853937
29,Ladd McConkey,WR,LAC,29.027903252201135,8.055260809737138,9.666312971684565
30,A.J. Brown,WR,PHI,28.903911109295205,7.931268666831208,9.51752240019745
31,Joe Burrow,QB,CIN,45.73086696498167,10.152622964855084,9.137360668369576
32,Breece Hall,RB,NYJ,29.260907721837274,5.916308094558612,8.874462141837919
33,Chuba Hubbard,RB,CAR,29.188044482412455,5.843444855133793,8.76516728270069
34,Jaxon Smith-Njigba,WR,SEA,28.025423185449593,7.052780742985597,8.463336891582715
35,Chase Brown,RB,CIN,28.921585681182826,5.5769860539041645,8.365479080856247
36,CeeDee Lamb,WR,DAL,27.76947510375619,6.796832661292193,8.15619919355063
37,James Conner,RB,ARI,27.962167329069505,4.617567701790843,6.926351552686265
38,Jared Goff,QB,DET,42.87599237815641,7.297748378029823,6.56797354022684
39,Mark Andrews,TE,BAL,20.327204147247382,4.533749931874027,6.347249904623638
40,Jordan Addison,WR,MIN,25.879106859213934,4.906464416749937,5.887757300099925
41,Mike Evans,WR,TB,25.730027995264038,4.7573855528000415,5.708862663360049
42,Tee Higgins,WR,CIN,25.678000125728445,4.705357683264449,5.646429219917338
43,Jonnu Smith,TE,MIA,19.693774064867718,3.9003198494943625,5.4604477892921075
44,Najee Harris,RB,PIT,26.7972881983315,3.452688571052839,5.1790328565792585
45,Davante Adams,WR,NYJ,25.257528865857157,4.284886423393161,5.141863708071793
46,Nico Collins,WR,HOU,25.057042696121247,4.08440025365725,4.9012803043887
47,DeVonta Smith,WR,PHI,24.89784498540782,3.925202542943822,4.710243051532586
48,D'Andre Swift,RB,CHI,26.3959288753812,3.0513292481025367,4.576993872153805
49,Jameson Williams,WR,DET,24.78028589522417,3.807643452760175,4.569172143312209
50,Marvin Harrison Jr.,WR,ARI,24.768826922471334,3.796184480007337,4.5554213760088045
51,Sam Darnold,QB,MIN,40.61391003367999,5.0356660335534045,4.532099430198064
52,Jerry Jeudy,WR,CLE,24.507170235773714,3.5345277933097172,4.2414333519716605
53,Tyrone Tracy Jr.,RB,NYG,26.04816315251069,2.7035635252320276,4.055345287848041
54,Sam LaPorta,TE,DET,18.65838039356249,2.8649261781891333,4.010896649464787
55,Keenan Allen,WR,CHI,24.11448287942388,3.141840436959882,3.770208524351858
56,Josh Allen,QB,BUF,39.75893312175573,4.180689121629143,3.762620209466229
57,J.K. Dobbins,RB,LAC,25.451036183140126,2.106436555861464,3.159654833792196
58,Travis Kelce,TE,KC,18.012186428172857,2.2187322127995017,3.1062250979193022
59,DJ Moore,WR,CHI,23.548975952155704,2.5763335096917075,3.0916002116300487
60,Pat Freiermuth,TE,PIT,17.885643415011295,2.0921891996379394,2.929064879493115
61,Zach Ertz,TE,WAS,17.83966279338984,2.0462085780164863,2.8646920092230808
62,Rhamondre Stevenson,RB,NE,25.24852282608208,1.9039231988034189,2.8558847982051283
63,Jayden Daniels,QB,WAS,38.729641761961474,3.151397761834886,2.8362579856513976
64,Tony Pollard,RB,TEN,25.21015753470574,1.8655579074270783,2.7983368611406174
65,Jauan Jennings,WR,SF,23.28050472253816,2.307862280074165,2.7694347360889977
66,Tyreek Hill,WR,MIA,23.26389353565512,2.291251093191125,2.74950131182935
67,Jayden Reed,WR,GB,23.087560207956685,2.114917765492688,2.5379013185912256
68,Alec Pierce,WR,IND,22.995586907904766,2.0229444654407693,2.427533358528923
69,Rashod Bateman,WR,BAL,22.764680055788023,1.7920376133240268,2.150445135988832
70,Geno Smith,QB,SEA,37.731824885457364,2.1535808853307756,1.9382227967976982
71,Rico Dowdle,RB,DAL,24.5205447844546,1.1759451571759385,1.7639177357639078
72,Brian Robinson,RB,WAS,24.507678472320972,1.1630788450423104,1.7446182675634656
73,Tank Bigsby,RB,JAX,24.507678472320972,1.1630788450423104,1.7446182675634656
74,Tucker Kraft,TE,GB,17.019746865776348,1.2262926504029927,1.7168097105641897
75,Kyler Murray,QB,ARI,36.97827137854243,1.4000273784158423,1.2600246405742581
76,Cade Otton,TE,TB,16.682919778346378,0.8894655629730224,1.2452517881622311
77,David Njoku,TE,CLE,16.48181587779842,0.6883616624250664,0.9637063273950929
78,Patrick Mahomes,QB,KC,36.0846231586023,0.5063791584757098,0.4557412426281388
79,Bo Nix,QB,DEN,36.039736526918865,0.46149252679227715,0.41534327411304944
80,Kenneth Walker III,RB,SEA,23.586446485658037,0.24184685837937536,0.36277028756906304
81,Justin Herbert,QB,LAC,35.63585380000309,0.057609799876502166,0.05184881988885195
82,Zach Charbonnet,RB,SEA,23.36446474864334,0.019865121364677663,0.029797682047016494
83,Brock Purdy,QB,SF,35.57824400012659,0.0,0.0
84,Mike Gesicki,TE,CIN,15.793454215373355,0.0,0.0
85,Rachaad White,RB,TB,23.34459962727866,0.0,0.0
86,DK Metcalf,WR,SEA,20.972642442463997,0.0,0.0
87,Hunter Henry,TE,NE,15.688099749824971,-0.10535446554838401,-0.14749625176773762
